,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc5048,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.2,0.01,0.01,0.01,7,Good price and great garage choice,location
Doc5049,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.27,4,Brilliant service from online order to fitment.,wait time
Doc5050,0.18,0.19,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,2,"Great value tyres, fitter didn’t use correct pressure though",mobile fitter
Doc5051,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.16,0.01,0.24,0.01,0.26,4,Easy purchase online and quick service at the fitting centre,wait time
Doc5052,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.38,0.1,10,"Motorworx. Tried one garage , wasn't too impressed by length of wait to get two rear tyres changed ,then went to motorworx in anniesland and was really pleased with friendly and efficient service , I will use motorworx again.",length of fitting
Doc5053,0.01,0.5,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.18,0.01,1,Great service and price thank you. Very happy customer,garage service
Doc5054,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,2,Very professional and reasonable prices,mobile fitter
Doc5055,0.01,0.01,0.21,0.01,0.01,0.01,0.45,0.25,0.01,0.01,0.01,0.01,6,"It is easy and convenient using [REDACTED], and the price is usually cheaper than if you go to a tyre fitting bag.",ease of booking
Doc5056,0.02,0.02,0.02,0.02,0.02,0.39,0.02,0.02,0.02,0.02,0.23,0.22,5,"After searching locally for a dealer to supply and fit tyres for my MR2, I remembered your site. You were over £300 cheaper.",delivery punctuality
Doc5057,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,8,"Communication a little lacking, had to chase details the day before fitting then received a generic response",booking confusion
Doc5058,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3,Lots of messing around with the fitting dates.,change of date
Doc5059,0.01,0.38,0.01,0.01,0.2,0.01,0.01,0.29,0.01,0.01,0.01,0.01,1,Best price and great customer service,garage service
Doc5060,0.17,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,2,"Wouldn’t use them again for [REDACTED] order , they tried to push for me to buy wheel alignment which I did not need at all , not very good practice from this store",mobile fitter
Doc5061,0.15,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,1,"Really good service, fast and reliable! Great price overall",garage service
Doc5062,0.43,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0,Good value and excellent website and service!,value for money
Doc5063,0.01,0.01,0.01,0.01,0.01,0.35,0.18,0.01,0.01,0.01,0.34,0.01,5,"Ordered wrong tyres, a quick phone call and the operator couldn’t be more helpful in resolving the issue",delivery punctuality
Doc5064,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.68,0.01,0.01,9,Good tyres shame about the fitting. Good prices and a very wide range of tyres. I have knocked off one star because the fitting place mismatched pressures by 7 psi across the axle I.e. illegal and unsafe. Fortunately I always check pressures myself but suspect many folks would assume it would be OK after a pair of new tyres had been put on.,tyre quality
Doc5065,0.18,0.01,0.01,0.01,0.19,0.01,0.14,0.01,0.41,0.01,0.01,0.01,8,Very simple and efficient service. Would have given a ten but would have liked to know my exact fitting appointment time initially rather than being given just AM and then not being sure the exact time until later when I received another email with 9am.,booking confusion
Doc5066,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.27,0.01,0.01,6,"Easy to find the tyres I needed & book the fitting close by , so easy , amazing . 😀",ease of booking
Doc5067,0.25,0.01,0.01,0.09,0.09,0.01,0.01,0.01,0.23,0.29,0.01,0.01,9,"The Good Bad. Having used [REDACTED] many times I know how good the service can be, but on this ocassion the first agreed fitting date was was not completed (after I had booked a day off work very inconvenient) when I spoke to your representative who was very obliging finally managed to get a fitting date.Previously I have recommended you to several family and friends who have actually purchased tyres in the past but now I'm not confident in future recommendations.",tyre quality
Doc5068,0.01,0.01,0.23,0.01,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,5,"second hand tyres do not buy. purchased a set of bridgestone tyres, was looking forward to putting them on a project car, but what I received was some old, dirty tyres with no manufacture markings, if I didn't know any better I'd think they were second hand tyres",delivery punctuality
Doc5069,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,1,great friendly service. Only thing is the tyre pressure needed checked the next day!,garage service
Doc5070,0.02,0.42,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,1,"Excellent service, local fitters.",garage service
Doc5071,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.26,0.01,0.51,0.01,0.01,9,"Good price on the tyre I wanted, and was able to get local fitting at a convenient time.",tyre quality
Doc5072,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0,Very easy saving me as a pensioner a lot of money,value for money
Doc5073,0.01,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.21,0.01,5,Very helpful and prompt. I ordered the wrong type of tyre instead of Run Flat tyres i orderd the normal tyres. I got back in touch with them and they immediatley rectified the promlem. It was no problem them. I am very pleased,delivery punctuality
Doc5074,0.03,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.36,0.03,5,"Friendly guys , fitted quickly and efficently",delivery punctuality
Doc5075,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.3,7,"Good choice of tyres, great prices easy to organise and local.",location
Doc5076,0.34,0.09,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43,11,"I thought the site was easy to use, great choice and ratings of products were clear. I addition to this I found the choice of products to be good value for money, especially when you buy 2 and get more money off.",discounts
Doc5077,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.54,11,Easy to use website and tyres fitted quickly.,discounts
Doc5078,0.01,0.12,0.13,0.01,0.01,0.3,0.01,0.01,0.01,0.25,0.13,0.01,5,Thanks for the perfect service got the tyres fitted at a centre with professional fitting staff,delivery punctuality
Doc5079,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0,Efficient service at the garage that I used,value for money
Doc5080,0.02,0.02,0.02,0.32,0.02,0.02,0.02,0.47,0.02,0.02,0.02,0.02,7,Delayed tyre and still charged full price and delivery,location
Doc5081,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.28,0.02,0.02,0.02,0.55,11,Easy to order and prices are fairly competitive.,discounts
Doc5082,0.17,0.01,0.23,0.01,0.14,0.39,0.01,0.01,0.01,0.01,0.01,0.01,5,Good service in the past but now no facility to phone to get advice. The fitter I selected did not give appointments and worked on a first come first served basis. This wasn't a problem as it happens but could have been and I wasn't warned of this prior to placing the order. Also the fitter fitted one tyre incorrectly which I had to get rectified on a second visit,delivery punctuality
Doc5083,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good service and value.,value for money
Doc5084,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Very good value for money,value for money
Doc5085,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,10,Resolved issues with wrong tires sent out v quickly Thanks again Alex,length of fitting
Doc5086,0.01,0.19,0.25,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,8,"The range of choice and pricing, both for actual tyres and fitting. The mobile fitter was excellent.",booking confusion
Doc5087,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4,Customer service very poor,wait time
Doc5088,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1,"In and out in 20 minutes, great seevice",garage service
Doc5089,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,11,"quick, easy and prices was a saving",discounts
Doc5090,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,excellent price and slick service,garage service
Doc5091,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,11,Easy to arrange and cheapest quote,discounts
Doc5092,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.44,11,Easy to use website the garage we went to was excellent,discounts
Doc5093,0.01,0.01,0.51,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2,Bad fitter experience. In fairness the review is based on the fitters ATS who put the tyre on backwards which caused an MOT failure. Thankfully quickly resolved by the MOT garage but extra £20 which negated the [REDACTED] saving.,mobile fitter
Doc5094,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"Brilliant service, excellent price. Thank you.",garage service
Doc5095,0.36,0.02,0.02,0.02,0.02,0.02,0.44,0.02,0.02,0.02,0.02,0.02,6,"Quick ,efficient and in a location convenient to me despite being 240miles away from home",ease of booking
Doc5096,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3,Prompt delivery,change of date
Doc5097,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,I chose BC on price but then the service proved to be excellent!,garage service
Doc5098,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Reasonable price and fast service,garage service
Doc5099,0.2,0.2,0.01,0.01,0.14,0.01,0.26,0.01,0.01,0.01,0.14,0.01,6,Great price and sevice polite staff. Easy online ordering and good communication,ease of booking
Doc5100,0.01,0.24,0.01,0.01,0.15,0.01,0.18,0.01,0.01,0.01,0.01,0.33,11,Easy to use and book an appointment. Great price!,discounts
Doc5101,0.01,0.35,0.01,0.01,0.13,0.22,0.23,0.01,0.01,0.01,0.01,0.01,1,"Great service, hassle free, great prices.Osbourne motors fitted my tyres another 5 star experience from them.",garage service
Doc5102,0.52,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Flawless experience at a good price,value for money
Doc5103,0.37,0.03,0.03,0.03,0.03,0.35,0.03,0.03,0.03,0.03,0.03,0.03,0,good priced premium brand tyre,value for money
Doc5104,0.49,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0,"Good price, easy to arrange, good fitter",value for money
Doc5105,0.18,0.18,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,9,Excellent value. Only minor gripe was that the fitting company left wheels very dirty,tyre quality
Doc5106,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.62,0.02,0.02,0.02,0.02,7,Ease of ordering. Very competitive pricing and vast amount of local garages available.,location
Doc5107,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0,Good price and no problems at the chosen garage,value for money
Doc5108,0.01,0.2,0.01,0.17,0.01,0.1,0.01,0.4,0.01,0.01,0.09,0.01,7,"Best prices I found great communication, I made a mistake on the tyres I ordered when I went to local garage for fitting ... 1 phone call all changed to correct types and no extra charge for collecting and re- delivery.. great service will use again..",location
Doc5109,0.02,0.22,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.38,0.02,0.02,9,Not so much [REDACTED] itself but some of the fitting centres can be a bit poor in terms of service and that is part of the whole process.,tyre quality
Doc5110,0.01,0.01,0.01,0.12,0.01,0.01,0.12,0.44,0.01,0.01,0.01,0.25,7,Would recommend. Easy-to-use website best prices that you will find and very convenient with a lot of local garages to choose from,location
Doc5111,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,10,"No problems whatsoever, saved £200 on garage quote for genuine Pirelli tyres for the Jag",length of fitting
Doc5112,0.02,0.02,0.27,0.02,0.27,0.02,0.27,0.02,0.02,0.02,0.02,0.02,2,I found the whole experience quick professional and competitively priced.,mobile fitter
Doc5113,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4,Your recent failure to deliver and initial indifference and incompetence of your customer service,wait time
Doc5114,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good value and service.,value for money
Doc5115,0.31,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,2,A quick and easy way to buy tyres at a good price.,mobile fitter
Doc5116,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,"Quick, cheap, reliable service",value for money
Doc5117,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.13,9,"Great prices, and really good service if you choose the right fitting centre.",tyre quality
Doc5118,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.36,0.37,11,"Website was easy to use, plenty of choices of tyres and garages to fit them. Appointment at the garage went like clock work.",discounts
Doc5119,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.58,0.02,0.02,0.02,0.02,7,Good prices and local fitting,location
Doc5120,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.08,0.01,8,"In the past I have had good service, however this last time was not good. My booking was cancelled the day before it was due because my tyres “went missing” I was then offered another booking 2 days later, the day I was traveling to France. I rang your service number a few times to see if my tyres had been found. In the end they turned up 25 minutes before 12 on the Friday. The whole thing was very stressful!",booking confusion
Doc5121,0.01,0.01,0.01,0.01,0.1,0.12,0.01,0.01,0.01,0.73,0.01,0.01,9,"Competitive prices. Tyres delivered on time to fitting centre. Unfortunately, the booking for fitting was not registered on their system - I assume this was their responsibility. Fitting time delayed by 1.5 hrs.",tyre quality
Doc5122,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.18,0.01,0.01,0.01,5,"I looked on line for the tyres that I wanted , they had a offer of 10% discount. I ordered them online and 3days later had them fitted at a garage near to where I live.",delivery punctuality
Doc5123,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.37,11,"Best price available, easy to use site and service from garage was excellent.",discounts
Doc5124,0.01,0.01,0.29,0.17,0.01,0.01,0.01,0.01,0.39,0.01,0.1,0.01,8,Delivery failures which were avoidable. We had to wait over an hour past fitment time and when they’d remove the front tyres they discovered one of the new ones had been damaged in transit so they old tyre had to go back on followed by another 2 day wait. Things like this can happen but it has put me off using this route. Ultimately why wasn’t the tyre checked on delivery and couldn’t we have been told the pre-booked time was unachievable in advance? This two thins would’ve mitigated the sour taste now left.,booking confusion
Doc5125,0.36,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.22,0.02,0.02,0,Good price and reliable and convenient fitting.,value for money
Doc5126,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,9,"Convenience, would choose a different fitting centre next time though.",tyre quality
Doc5127,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.35,11,"Efficient, Price, Information and Accuracy of Tyres available in order to make a viable choice.",discounts
Doc5128,0.01,0.01,0.34,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.43,11,"I love using [REDACTED], its so easy to use and the tyres to compare online are so diverse and broad. I only ever go for the same tyres but its always worth a look at the deals and also the prices of better brands.",discounts
Doc5129,0.01,0.01,0.14,0.01,0.01,0.46,0.01,0.01,0.01,0.13,0.19,0.01,5,"Hi, The fitting of the two front tyres fitted to my car as ordered. But, my computer stated that the tyres where under inflated and the dust caps on the valves were missing.I had to re inflate to the correct pressures.Also, i went back to the fitter who stated that their systems were calibrated.I think that this was a sloppy operation and should not happen on such a mundane task.Sending vehicles out on to the highway in such a maner could end in a tragedy.",delivery punctuality
Doc5130,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,Great service and very proactive support,garage service
Doc5131,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1,Excellent in every regard. A. Ahmed,garage service
Doc5132,0.01,0.01,0.01,0.28,0.01,0.01,0.17,0.01,0.01,0.45,0.01,0.01,9,"Super, turned up on time when doing mobile fitting. Nice guy and the price overall was cheaper than anywhere else. Will definitely use again.",tyre quality
Doc5133,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,Great service from the guys at Purley Nr Reading,garage service
Doc5134,0.01,0.22,0.01,0.01,0.01,0.19,0.01,0.24,0.01,0.01,0.01,0.29,11,"So easy, just order tyres then choose from the list of local garages to get them fitted. Excellent service and very reasonable prices.",discounts
Doc5135,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.42,9,"Competitive prices, easy to order & arrange fitting at a time that suited me. Perfect.",tyre quality
Doc5136,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Good price, good service.",value for money
Doc5137,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great prices and great service,garage service
Doc5138,0.29,0.4,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,1,Good prices and more convenient great service,garage service
Doc5139,0.27,0.12,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.2,0.12,0.01,0,Great Value for Money and a top notch customer services team. I have used [REDACTED] many times and saved lots of money. Last time the ATS Garage I chose to fit my tyres let me down but the [REDACTED] customer service team sorted out everything for me. I won't go back to ATS but I'll always trust [REDACTED].,value for money
